product_id,product_gid,status,en_title,nl_title,en_handle,nl_handle_translation,nl_handle_effective,mismatch,en_url,nl_url,admin_url
10711305584967,gid://shopify/Product/10711305584967,ACTIVE,Velorest Chain Care Bundle,Velorest Chain Care Bundle - Ketting schoonmaakset,velorest-chain-care-bundle,,velorest-chain-care-bundle,no,https://dpp-shop.com/products/velorest-chain-care-bundle,https://dpp-shop.com/nl/products/velorest-chain-care-bundle,https://dutch-performance-products.myshopify.com/admin/products/10711305584967
10711261118791,gid://shopify/Product/10711261118791,ACTIVE,Velorest Chain Claw Brush,Velorest Chain Claw Brush,velorest-chain-claw-brush,,velorest-chain-claw-brush,no,https://dpp-shop.com/products/velorest-chain-claw-brush,https://dpp-shop.com/nl/products/velorest-chain-claw-brush,https://dutch-performance-products.myshopify.com/admin/products/10711261118791
10711305224519,gid://shopify/Product/10711305224519,ACTIVE,Velorest Chain Cleaner 500 ml,Velorest Chain Cleaner 500 ml - Kettingreiniger,velorest-chain-cleaner-500ml,,velorest-chain-cleaner-500ml,no,https://dpp-shop.com/products/velorest-chain-cleaner-500ml,https://dpp-shop.com/nl/products/velorest-chain-cleaner-500ml,https://dutch-performance-products.myshopify.com/admin/products/10711305224519
10711305453895,gid://shopify/Product/10711305453895,ACTIVE,Velorest Chain Lube Wet 100ML,Velorest Chain Lube Wet 100ML,velorest-chain-lube-wet-100ml,,velorest-chain-lube-wet-100ml,no,https://dpp-shop.com/products/velorest-chain-lube-wet-100ml,https://dpp-shop.com/nl/products/velorest-chain-lube-wet-100ml,https://dutch-performance-products.myshopify.com/admin/products/10711305453895
10711298441543,gid://shopify/Product/10711298441543,ACTIVE,Velorest Daily Microfiber Cloth,Velorest Daily Microfiber Cloth,velorest-daily-microfiber-cloth,,velorest-daily-microfiber-cloth,no,https://dpp-shop.com/products/velorest-daily-microfiber-cloth,https://dpp-shop.com/nl/products/velorest-daily-microfiber-cloth,https://dutch-performance-products.myshopify.com/admin/products/10711298441543
10711288480071,gid://shopify/Product/10711288480071,ACTIVE,Velorest De-Icer 500ml,Velorest De-Icer 500ml - Ruitontdooier,velorest-de-icer-500ml,,velorest-de-icer-500ml,no,https://dpp-shop.com/products/velorest-de-icer-500ml,https://dpp-shop.com/nl/products/velorest-de-icer-500ml,https://dutch-performance-products.myshopify.com/admin/products/10711288480071
10711298310471,gid://shopify/Product/10711298310471,ACTIVE,Velorest Detailing Brush,Velorest Detailing Brush,velorest-detailing-brush,,velorest-detailing-brush,no,https://dpp-shop.com/products/velorest-detailing-brush,https://dpp-shop.com/nl/products/velorest-detailing-brush,https://dutch-performance-products.myshopify.com/admin/products/10711298310471
10711536763207,gid://shopify/Product/10711536763207,ACTIVE,Velorest Drying Towel XL - 1000 GSM | 70x50cm,Velorest Drying Towel XL - 1000 GSM | 70x50cm,velorest-drying-towel-600gsm,,velorest-drying-towel-600gsm,no,https://dpp-shop.com/products/velorest-drying-towel-600gsm,https://dpp-shop.com/nl/products/velorest-drying-towel-600gsm,https://dutch-performance-products.myshopify.com/admin/products/10711536763207
10711305290055,gid://shopify/Product/10711305290055,ACTIVE,Velorest Glass Cleaner 500ml,Velorest Glass Cleaner 500 ml,velorest-glass-cleaner-500ml,,velorest-glass-cleaner-500ml,no,https://dpp-shop.com/products/velorest-glass-cleaner-500ml,https://dpp-shop.com/nl/products/velorest-glass-cleaner-500ml,https://dutch-performance-products.myshopify.com/admin/products/10711305290055
10711249813831,gid://shopify/Product/10711249813831,ACTIVE,Velorest Glass Towel,Velorest Glass Towel,velorest-glass-towel,,velorest-glass-towel,no,https://dpp-shop.com/products/velorest-glass-towel,https://dpp-shop.com/nl/products/velorest-glass-towel,https://dutch-performance-products.myshopify.com/admin/products/10711249813831
10711305650503,gid://shopify/Product/10711305650503,ACTIVE,Velorest Interior Cleaner 500ml,Velorest Interior Cleaner 500 ml,velorest-interior-cleaner-500ml,,velorest-interior-cleaner-500ml,no,https://dpp-shop.com/products/velorest-interior-cleaner-500ml,https://dpp-shop.com/nl/products/velorest-interior-cleaner-500ml,https://dutch-performance-products.myshopify.com/admin/products/10711305650503
10711305322823,gid://shopify/Product/10711305322823,ACTIVE,Velorest Perfect Shampoo 500 ml,Velorest Perfect Shampoo 500 ml - Autoshampoo,velorest-perfect-shampoo-500ml,,velorest-perfect-shampoo-500ml,no,https://dpp-shop.com/products/velorest-perfect-shampoo-500ml,https://dpp-shop.com/nl/products/velorest-perfect-shampoo-500ml,https://dutch-performance-products.myshopify.com/admin/products/10711305322823
10711461331271,gid://shopify/Product/10711461331271,ACTIVE,Velorest Premium Drying Towel XXL | 1100 GSM | 90x70cm,Velorest Premium Drying Towel XXL | 1100 GSM | 90x70cm,velorest-premium-drying-towel-1000gsm,,velorest-premium-drying-towel-1000gsm,no,https://dpp-shop.com/products/velorest-premium-drying-towel-1000gsm,https://dpp-shop.com/nl/products/velorest-premium-drying-towel-1000gsm,https://dutch-performance-products.myshopify.com/admin/products/10711461331271
10711539777863,gid://shopify/Product/10711539777863,ACTIVE,Velorest Premium Microfiber Cloth - 350 GSM,Velorest Premium Microfiber Cloth - 350 GSM,velorest-premium-microfiber-cloth-350-gsm,,velorest-premium-microfiber-cloth-350-gsm,no,https://dpp-shop.com/products/velorest-premium-microfiber-cloth-350-gsm,https://dpp-shop.com/nl/products/velorest-premium-microfiber-cloth-350-gsm,https://dutch-performance-products.myshopify.com/admin/products/10711539777863
10711249781063,gid://shopify/Product/10711249781063,ACTIVE,Velorest Screen Wash Summer 5L,Velorest Screen Wash Summer 5L - Ruitenwisservloeistof Kant & Klaar,velorest-screen-wash-summer-5l,,velorest-screen-wash-summer-5l,no,https://dpp-shop.com/products/velorest-screen-wash-summer-5l,https://dpp-shop.com/nl/products/velorest-screen-wash-summer-5l,https://dutch-performance-products.myshopify.com/admin/products/10711249781063
10711295197511,gid://shopify/Product/10711295197511,ACTIVE,Velorest Screen Wash Winter 5L - Ready for Use,Velorest Screen Wash Winter 5L - Ruitenwisservloeistof Kant & Klaar,velorest-screen-wash-winter-5l,,velorest-screen-wash-winter-5l,no,https://dpp-shop.com/products/velorest-screen-wash-winter-5l,https://dpp-shop.com/nl/products/velorest-screen-wash-winter-5l,https://dutch-performance-products.myshopify.com/admin/products/10711295197511
10711536992583,gid://shopify/Product/10711536992583,ACTIVE,Velorest Soft Washing Brush,Velorest Soft Washing Brush,velorest-soft-washing-brush,,velorest-soft-washing-brush,no,https://dpp-shop.com/products/velorest-soft-washing-brush,https://dpp-shop.com/nl/products/velorest-soft-washing-brush,https://dutch-performance-products.myshopify.com/admin/products/10711536992583
10711305355591,gid://shopify/Product/10711305355591,ACTIVE,Velorest Tire & Wheel Cleaner 500 ml,Velorest Tire & Wheel Cleaner 500 ml,velorest-tire-and-wheel-cleaner-500ml,,velorest-tire-and-wheel-cleaner-500ml,no,https://dpp-shop.com/products/velorest-tire-and-wheel-cleaner-500ml,https://dpp-shop.com/nl/products/velorest-tire-and-wheel-cleaner-500ml,https://dutch-performance-products.myshopify.com/admin/products/10711305355591
10711305388359,gid://shopify/Product/10711305388359,ACTIVE,Velorest Total Bundle,Velorest Total Bundle - Fiets schoonmaakset,velorest-total-bundle,,velorest-total-bundle,no,https://dpp-shop.com/products/velorest-total-bundle,https://dpp-shop.com/nl/products/velorest-total-bundle,https://dutch-performance-products.myshopify.com/admin/products/10711305388359
